"","id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta","palbusc"
"5126",6428380,"COMIC ROPA INFANTIL Y TENNIS","ST EVEN FASHION SA",463211,"Comercio al por menor de ropa, excepto de bebé y lencería","0 a 5 personas","PERIFÉRICO","RAÚL LÓPEZ SÁNCHEZ","CALLE","INDEPENDENCIA","CALLE","LIBRAMIENTO PERIFÉRICO RAÚL LÓPEZ SÁNCHEZ","CALLE","DEL OLIVO",0,"SN","","","","","COLONIA","EL FRESNO","","","",27018,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","761",38,"","","","Fijo",25.58125151,-103.4011884,"jul-10","COMIC ROPA INFANTIL Y TENNISComercio al por menor de ropa, excepto de bebé y lencería"
"12494",305532,"ROPA INFANTIL CIELO AZUL","",463211,"Comercio al por menor de ropa, excepto de bebé y lencería","0 a 5 personas","BOULEVARD","INDEPENDENCIA","CALLE","QUÉBEC","CALLE","PUERTO PRÍNCIPE","BOULEVARD","INDEPENDENCIA",2295,"","","","1","","COLONIA","SAN ISIDRO","","","",27100,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","47",11,"8712040502","","","Fijo",25.56862293,-103.4238568,"jul-10","ROPA INFANTIL CIELO AZULComercio al por menor de ropa, excepto de bebé y lencería"
"13120",279860,"TIENDA DE ROPA INFANTIL CARRUSEL","",463212,"Comercio al por menor de ropa de bebé","0 a 5 personas","CALZADA","DE ABASTOS","CALLE","RÍO NAZAS","CALLE","RÍO FUERTE","CALLE","RÍO FUERTE",727,"","","","","","COLONIA","ESTRELLA","","","",27010,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","66",19,"","","","Fijo",25.56261403,-103.4204417,"dic-14","TIENDA DE ROPA INFANTIL CARRUSELComercio al por menor de ropa de bebé"
"15102",300310,"BLAJUC FIESTAS INFANTILES","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","AVENIDA","MARIANO ABASOLO","CALLE","ARRIAGA","CALLE","MORENO","AVENIDA","OCAMPO",637,"","","","","","COLONIA","CENTRO","","","",27000,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","263",26,"8717187427","","","Fijo",25.54225438,-103.4416023,"jul-10","BLAJUC FIESTAS INFANTILESAlquiler sin intermediación de salones para fiestas y convenciones"
"15186",282728,"FANTASÍA SALÓN DE FIESTAS INFANTILES","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","BOULEVARD","DIAGONAL DE LAS FUENTES","CALLE","SERAFÍN","ANDADOR","ORIENTE","CERRADA","SAN OSCAR",328,"","","","","","COLONIA","LA FUENTE","","","",27090,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","2081",22,"873193951","","","Fijo",25.51399234,-103.4113622,"dic-14","FANTASÍA SALÓN DE FIESTAS INFANTILESAlquiler sin intermediación de salones para fiestas y convenciones"
"15208",279461,"HAPPY CASTLE SALON DE FIESTAS INFANTILES","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","AVENIDA","GENERAL LÁZARO CÁRDENAS","CALLE","ANTIGUA CARRETERA A SAN PEDRO","CALLE","FRANCISCO I. MADERO","AVENIDA","ASTROS",0,"SN","","","","","FRACCIONAMIENTO","RINCON SAN JOSE","","","",27050,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","4020",28,"","","","Fijo",25.56712675,-103.3954677,"dic-14","HAPPY CASTLE SALON DE FIESTAS INFANTILESAlquiler sin intermediación de salones para fiestas y convenciones"
"15238",6429245,"JARDÍN DE FIESTAS INFANTILES","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALLE","SAN JACINTO","ANDADOR","PONIENTE","CALLE","DEL ARCÁNGEL","","NINGUNO",0,"SN","","","","","COLONIA","LA FUENTE","","","",27090,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","2081",23,"","","","Fijo",25.51473443,-103.4147547,"jul-10","JARDÍN DE FIESTAS INFANTILESAlquiler sin intermediación de salones para fiestas y convenciones"
"15305",297479,"PUPPO SALÓN DE FIESTAS INFANTILES","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALLE","RAYÓN","BOULEVARD","INDEPENDENCIA","BOULEVARD","CONSTITUCIÓN","PRIVADA","NINGUNO",566,"","","","","","COLONIA","AMPLIACION LOS ANGELES","","","",27140,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1420",12,"8717411819","SALONPUPPE@HOTMAIL.COM","","Fijo",25.54735414,-103.4507172,"jul-10","PUPPO SALÓN DE FIESTAS INFANTILESAlquiler sin intermediación de salones para fiestas y convenciones"
"15426",6428165,"SALÓN DE EVENTOS INFANTILES","SALÓN DE EVENTOS INFANTILES",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALLE","TORRE DE ORIENTAL","CALLE","TORRE DEL REDENTOR","CALLE","TORRE DE CRISTAL","","NINGUNO",780,"","","","","","RESIDENCIAL","LAS TORRES","","","",27085,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","137A",12,"","","","Fijo",25.53885035,-103.3863438,"dic-14","SALÓN DE EVENTOS INFANTILESAlquiler sin intermediación de salones para fiestas y convenciones"
"15430",306003,"SALÓN DE FIESAS FANTASÍA INFANTIL","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","AVENIDA","PRESIDENTE CARRANZA","CALLE","34","CALLE","36","CALLE","MAGDALENA MONDRAGÓN",3578,"","","","","","COLONIA","CENTRO","","","",27000,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","2043",8,"8717202099","","","Fijo",25.53622404,-103.4108559,"jul-10","SALÓN DE FIESAS FANTASÍA INFANTILAlquiler sin intermediación de salones para fiestas y convenciones"
"15439",304434,"SALON DE FIESTAS CAFÉ INFANTIL","SALON DE FIESTAS CAFÉ INFANTIL",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","BOULEVARD","CONSTITUCIÓN","CALLE","BATALLÓN SAN PATRICIO","BOULEVARD","CONSTITUCIÓN","BOULEVARD","INDEPENDENCIA",0,"SN","","","","","COLONIA","AMPLIACIÓN LOS ÁNGELES","","","",27140,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1346",30,"8712042000","","","Fijo",25.54833504,-103.4504554,"jul-10","SALON DE FIESTAS CAFÉ INFANTILAlquiler sin intermediación de salones para fiestas y convenciones"
"15454",306438,"SALÓN DE FIESTAS INFANTIL SIN NOMBRE","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","AVENIDA","HIDALGO","CALLE","JOAQUÍN MORENO","CALLE","ROSENDO GUERRERO","AVENIDA","PRESIDENTE CARRANZA",0,"SN","","","","","COLONIA","CENTRO","","","",27000,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1473",30,"8717130108","","","Fijo",25.53722427,-103.4273171,"jul-10","SALÓN DE FIESTAS INFANTIL SIN NOMBREAlquiler sin intermediación de salones para fiestas y convenciones"
"15455",6429051,"SALÓN DE FIESTAS INFANTILES","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALLE","TORRE BLANCA","CALLE","MEXICALI","CALLE","58","","NINGUNO",925,"","","","","","FRACCIONAMIENTO","HORIZONTE","","","",27277,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","137A",35,"","","","Fijo",25.53682296,-103.3823447,"jul-10","SALÓN DE FIESTAS INFANTILESAlquiler sin intermediación de salones para fiestas y convenciones"
"15456",310594,"SALÓN DE FIESTAS INFANTILES ABRIL","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","AVENIDA","POPOCATÉPETL","CALLE","MONTE FRÍO","CALLE","MONTE MAKALU","CALLE","MONTE ROSA",202,"","","","","","COLONIA","VALLE DORADO","","","",27090,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","2077",6,"8717206292","","","Fijo",25.51256248,-103.4202179,"jul-10","SALÓN DE FIESTAS INFANTILES ABRILAlquiler sin intermediación de salones para fiestas y convenciones"
"15457",311992,"SALÓN DE FIESTAS INFANTILES EL CASTILLO DE MAXIM","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALZADA","JOSÉ VASCONCELOS","","PEDRO RODRÍGUEZ TRIANA","CALLE","MISIÓN SANTA MARIA","BOULEVARD","PEDRO RODRÍGUEZ TRIANA",2041,"","","","","","FRACCIONAMIENTO","RESIDENCIAL LAS MISIONES","","","",27276,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1064",49,"8717300144","","","Fijo",25.51385153,-103.3961417,"jul-10","SALÓN DE FIESTAS INFANTILES EL CASTILLO DE MAXIMAlquiler sin intermediación de salones para fiestas y convenciones"
"15458",311933,"SALÓN DE FIESTAS INFANTILES EL MUNDO DE TOMY","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALZADA","DIVISIÓN DEL NORTE","CALZADA","MANUEL GÓMEZ MORÍN","CALLE","PASEO DEL CHARRO","CALLE","DE LA NOPALERA",282,"","","","","","COLONIA","RESIDENCIAL LA HACIENDA","","","",27276,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1064",2,"8717304097","","","Fijo",25.52171887,-103.3939301,"jul-10","SALÓN DE FIESTAS INFANTILES EL MUNDO DE TOMYAlquiler sin intermediación de salones para fiestas y convenciones"
"15459",311953,"SALÓN DE FIESTAS INFANTILES LA HACIENDA DEL NIÑO","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALZADA","DIVISIÓN DEL NORTE","CALLE","CIRCUITO DE LA HERRADURA","CALLE","PASEO DE LA CAPILLA","CALLE","PASEO DEL CAPORAL",192,"","","","","","COLONIA","RESIDENCIAL LA HACIENDA","","","",27276,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1064",21,"8717304848","","","Fijo",25.51912288,-103.393941,"jul-10","SALÓN DE FIESTAS INFANTILES LA HACIENDA DEL NIÑOAlquiler sin intermediación de salones para fiestas y convenciones"
"15460",306269,"SALÓN DE FIESTAS INFANTILES LABERINTO","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALZADA","ANTONIO DE JUAMBELZ (CALLE 32)","CALLE","PRIVADA ALFONSO REYES","AVENIDA","JUÁREZ","CALLE","34",289,"","","","","","COLONIA","CENTRO","","","",27000,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1492",2,"8717175062","","","Fijo",25.53850618,-103.413952,"jul-10","SALÓN DE FIESTAS INFANTILES LABERINTOAlquiler sin intermediación de salones para fiestas y convenciones"
"15461",6428305,"SALÓN DE FIESTAS INFANTILES LOLLIPOP","LOLLIPOP",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","AUTOPISTA","TORREÓN-SAN PEDRO","CALLE","MADERO","CALLE","NINGUNO","CALLE","BLANCO",0,"SN","","","","","COLONIA","EJIDO LA CONCHA","","","",27422,5,"COAHUILA DE ZARAGOZA",35,"Torreón",152,"La Concha","3681",34,"8712280006","","","Fijo",25.63591192,-103.3758214,"dic-14","SALÓN DE FIESTAS INFANTILES LOLLIPOPAlquiler sin intermediación de salones para fiestas y convenciones"
"15462",6428134,"SALÓN DE FIESTAS INFANTILES MONCHITO","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALZADA","CANAL DE LA CONCHA","CALLE","NOGAL AMERICANO","CALLE","DE LA LIBERTAD","","NINGUNO",0,"SN","","","","","FRACCIONAMIENTO","RINCON DE LOS NOGALES","","","",27087,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","4355",23,"","","","Fijo",25.54824858,-103.3636927,"jul-10","SALÓN DE FIESTAS INFANTILES MONCHITOAlquiler sin intermediación de salones para fiestas y convenciones"
"15463",306591,"SALÓN DE FIESTAS INFANTILES PAO","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALLE","CESÁREO CASTRO","AVENIDA","FRANCISCO ORTIZ GARZA","AVENIDA","JOSÉ MARÍA RODRÍGUEZ","AVENIDA","FRANCISCO ORTIZ GARZA",899,"","","","","","COLONIA","TORREON JARDIN","","","",27200,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","371",53,"","","","Fijo",25.53104404,-103.4327194,"jul-10","SALÓN DE FIESTAS INFANTILES PAOAlquiler sin intermediación de salones para fiestas y convenciones"
"15464",279478,"SALÓN DE FIESTAS INFANTILES PEKELANDIA","SALON PEKELANDIA",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALLE","JUAN AGUSTÍN DE ESPINOZA","CALLE","NINGUNO","CALLE","PUERTA REAL","CALLE","JUAN AGUSTÍN DE ESPINOZA",570,"","","","","","FRACCIONAMIENTO","PUERTA DE HIERRO","","","",27058,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","4016",17,"8717317047","","","Fijo",25.55837258,-103.3869199,"dic-14","SALÓN DE FIESTAS INFANTILES PEKELANDIAAlquiler sin intermediación de salones para fiestas y convenciones"
"15465",311949,"SALÓN DE FIESTAS INFANTILES QUE ROLLO","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALZADA","JOSÉ VASCONCELOS","AVENIDA","PASEO DEL TECNOLÓGICO","CALLE","DEL ARADO","CALZADA","DIVISIÓN DEL NORTE",909,"","","","","","COLONIA","RESIDENCIAL LA HACIENDA","","","",27276,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1064",25,"8717311415","","","Fijo",25.51816084,-103.3960958,"jul-10","SALÓN DE FIESTAS INFANTILES QUE ROLLOAlquiler sin intermediación de salones para fiestas y convenciones"
"15466",297452,"SALÓN DE FIESTAS INFANTILES SIN NOMBRE","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALLE","JOSÉ RENDUELES","CALLE","PEDRO FRANCO UGARTE","CALLE","JUAN TERRAZA","CALLE","RAMÍREZ",181,"BIS","","","","","COLONIA","AMPLIACION LOS ANGELES","","","",27140,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1420",5,"","","","Fijo",25.5502253,-103.453425,"jul-10","SALÓN DE FIESTAS INFANTILES SIN NOMBREAlquiler sin intermediación de salones para fiestas y convenciones"
"15496",305740,"SALÓN INFANTIL SAN AGUSTIN","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALLE","RÍO SENA","CALLE","RÍO SALADO","CALLE","RÍO CONCHOS","CALLE","NINGUNO",1465,"","","","","","COLONIA","MAGDALENAS","","","1465",27010,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","70",1,"8712195505","","","Fijo",25.56805537,-103.4176194,"jul-10","SALÓN INFANTIL SAN AGUSTINAlquiler sin intermediación de salones para fiestas y convenciones"
"15497",6429048,"SALÓN INFANTIL VILLA ALEGRE Y SALÓN EL FRESNO","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","CALLE","FRANUSO DE FIGUEROA","CALLE","INDEPENDENCIA","CALLE","JUAN RAMÓN JIMÉNEZ","","NINGUNO",4045,"","","","","","RESIDENCIAL","EL FRESNO","","","",27018,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","776",32,"7509190","","","Fijo",25.5779643,-103.4056537,"jul-10","SALÓN INFANTIL VILLA ALEGRE Y SALÓN EL FRESNOAlquiler sin intermediación de salones para fiestas y convenciones"
"15511",300492,"SALÓN PARA FIESTAS INFANTILES GARO","",531113,"Alquiler sin intermediación de salones para fiestas y convenciones","0 a 5 personas","AVENIDA","JUÁREZ","CALLE","QUINTANA ROO","CALLE","FRANCISCO I. MADERO","CALLE","FRANCISCO I. MADERO",679,"","","","","","FRACCIONAMIENTO","CUARTA DE COBIAN","","","",27000,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","263",15,"8717188189","","","Fijo",25.53841856,-103.4410229,"jul-10","SALÓN PARA FIESTAS INFANTILES GAROAlquiler sin intermediación de salones para fiestas y convenciones"
"15745",305141,"CAJA MAGICA FOTOS INFANTILES","",541920,"Servicios de fotografía y videograbación","6 a 10 personas","AVENIDA","GÓMEZ FARÍAS","CALLE","GREGORIO A. GARCÍA","CALLE","NIÑOS HÉROES","AVENIDA","GÓMEZ FARÍAS",0,"SN","","","","","COLONIA","CENTRO","","","",27000,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","102",8,"8717131577","","WWW.CAJAMAGICA.COM","Fijo",25.55541652,-103.4371881,"jul-10","CAJA MAGICA FOTOS INFANTILESServicios de fotografía y videograbación"
"16103",306609,"FOTOGRAFÍA INFANTIL","",541850,"Agencias de anuncios publicitarios","0 a 5 personas","BOULEVARD","REVOLUCIÓN","CALLE","EGLANTINAS","CALLE","DALIAS","AVENIDA","LAGUNA SUR",2120,"L-14","","","","","COLONIA","TORREON JARDIN","","","",27200,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","371",49,"8711924771","","","Fijo",25.53550569,-103.4253858,"jul-10","FOTOGRAFÍA INFANTILAgencias de anuncios publicitarios"
"17518",294250,"COMUNIDAD INFANTIL VILLA MONTESSORI","",611111,"Escuelas de educación preescolar del sector privado","6 a 10 personas","BOULEVARD","PASEO DEL MARATÓN ALGODÓN","CALLE","NINGUNO","","DEL VENADO","TERRACERÍA","NINGUNO",309,"","","","","","FRACCIONAMIENTO","VIÑEDOS","","","",27019,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","3003",1,"8717641515","","","Fijo",25.5715151,-103.3864925,"jul-10","COMUNIDAD INFANTIL VILLA MONTESSORIEscuelas de educación preescolar del sector privado"
"17519",303814,"COMUNIDAD MONTESSORI INFANTIL","",611111,"Escuelas de educación preescolar del sector privado","0 a 5 personas","CALLE","JUAN CASTELLÓN","PROLONGACIÓN","CRISTÓBAL COLÓN","CALLE","JUAN TERRAZAS","CALLE","F.RODRIGUEZ",11,"","","","","","COLONIA","LOS ANGELES","","","",27140,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1331",6,"8717113346","","","Fijo",25.55601029,-103.4490917,"jul-10","COMUNIDAD MONTESSORI INFANTILEscuelas de educación preescolar del sector privado"
"17837",6198799,"ESTANCIA INFANTIL","ESTANCIA INFANTIL",611111,"Escuelas de educación preescolar del sector privado","0 a 5 personas","CALLE","TORRE DE CRISTAL","CALLE","TORRE DE ORIENTAL","CALLE","TORRE DE MARFIL","","NINGUNO",287,"","","","","","RESIDENCIAL","LAS TORRES","","","",27085,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","137A",28,"","","","Fijo",25.53859822,-103.3861963,"dic-14","ESTANCIA INFANTILEscuelas de educación preescolar del sector privado"
"17838",274605,"ESTANCIA INFANTIL ALISON, S.C.","",611111,"Escuelas de educación preescolar del sector privado","0 a 5 personas","CALLE","GANADERA","CALLE","VINÍCOLA","CALLE","ZONA DEL SILENCIO","CALLE","LECHUGUILLAS",133,"","","","","","FRACCIONAMIENTO","QUINTAS DEL NAZAS","","","",27087,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","3906",3,"8717333884","","","Fijo",25.54776126,-103.3653711,"dic-14","ESTANCIA INFANTIL ALISON, S.C.Escuelas de educación preescolar del sector privado"
"18402",286341,"CENTRO COMUNITARIO INFANTIL DIF","DIF ESTATAL",624112,"Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público","0 a 5 personas","AVENIDA","16 DE SEPTIEMBRE","PRIVADA","BARTOLO BERNAL","","TORREÓN","AVENIDA","16 DE SEPTIEMBRE",0,"SN","","","","","COLONIA","JACOBO MEYER","","","",27330,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","2823",1,"","","","Fijo",25.52890411,-103.4834256,"dic-14","CENTRO COMUNITARIO INFANTIL DIFServicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público"
"18422",280920,"CENTRO DE ATENCIÓN ESPECIAL INFANTIL,A.C.","",621341,"Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje","31 a 50 personas","AVENIDA","ÁGUILA NACIONAL","CALLE","ABASTOS","CALLE","PROLONGACIÓN ÁLVAREZ","BOULEVARD","DIAGONAL REFORMA",1807,"","","","","","COLONIA","CENTRO","","","",27000,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","174",29,"8717227746","ANGELITOSDELCAEI@GMAIL.COM","WWW.ANGELITOSDELCAEI.ORG","Fijo",25.55210731,-103.4276111,"dic-14","CENTRO DE ATENCIÓN ESPECIAL INFANTIL,A.C.Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje"
